Time,Scenario,Computation Time (sec),Timestep Index,Optimized Charging Request IDs,TOU Electricity Tariff ($/kW),TOU Demand Charge ($/kW),Grid Power (kW),Facility Load (kW),PV Output (kW),ESS Charge Power (kW),ESS Disharge Power (kW),ESS Energy Level (kWh),Total Cost ($),Grid Import Cost ($),Penalty for Unsatisfied EV ($),Demand Charge Cost ($),EV 1 Energy Required this Horizon,EV 1 Parking State,"EV 1 Connected Charger ID, 0 = None",EV 1 Power Delivered,EV 1 Power Unsatisfied,EV 2 Energy Required this Horizon,EV 2 Parking State,"EV 2 Connected Charger ID, 0 = None",EV 2 Power Delivered,EV 2 Power Unsatisfied,EV 3 Energy Required this Horizon,EV 3 Parking State,"EV 3 Connected Charger ID, 0 = None",EV 3 Power Delivered,EV 3 Power Unsatisfied,EV 4 Energy Required this Horizon,EV 4 Parking State,"EV 4 Connected Charger ID, 0 = None",EV 4 Power Delivered,EV 4 Power Unsatisfied,EV 5 Energy Required this Horizon,EV 5 Parking State,"EV 5 Connected Charger ID, 0 = None",EV 5 Power Delivered,EV 5 Power Unsatisfied,EV 6 Energy Required this Horizon,EV 6 Parking State,"EV 6 Connected Charger ID, 0 = None",EV 6 Power Delivered,EV 6 Power Unsatisfied,EV 7 Energy Required this Horizon,EV 7 Parking State,"EV 7 Connected Charger ID, 0 = None",EV 7 Power Delivered,EV 7 Power Unsatisfied,EV 8 Energy Required this Horizon,EV 8 Parking State,"EV 8 Connected Charger ID, 0 = None",EV 8 Power Delivered,EV 8 Power Unsatisfied,EV 9 Energy Required this Horizon,EV 9 Parking State,"EV 9 Connected Charger ID, 0 = None",EV 9 Power Delivered,EV 9 Power Unsatisfied,EV 10 Energy Required this Horizon,EV 10 Parking State,"EV 10 Connected Charger ID, 0 = None",EV 10 Power Delivered,EV 10 Power Unsatisfied,EV 11 Energy Required this Horizon,EV 11 Parking State,"EV 11 Connected Charger ID, 0 = None",EV 11 Power Delivered,EV 11 Power Unsatisfied,EV 12 Energy Required this Horizon,EV 12 Parking State,"EV 12 Connected Charger ID, 0 = None",EV 12 Power Delivered,EV 12 Power Unsatisfied,EV 13 Energy Required this Horizon,EV 13 Parking State,"EV 13 Connected Charger ID, 0 = None",EV 13 Power Delivered,EV 13 Power Unsatisfied,EV 14 Energy Required this Horizon,EV 14 Parking State,"EV 14 Connected Charger ID, 0 = None",EV 14 Power Delivered,EV 14 Power Unsatisfied,EV 15 Energy Required this Horizon,EV 15 Parking State,"EV 15 Connected Charger ID, 0 = None",EV 15 Power Delivered,EV 15 Power Unsatisfied,EV 16 Energy Required this Horizon,EV 16 Parking State,"EV 16 Connected Charger ID, 0 = None",EV 16 Power Delivered,EV 16 Power Unsatisfied,Charger 1 Connection State,Charger 2 Connection State,Charger 3 Connection State
2019-01-01 17:00:00,Test for: 3 Chargers 16 Sessions and 9.0 hrs Horizion,122.337,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.13,19.34,0,20,0,0,20,50,396.3855556,361.19177,0,35.19378564,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-01 17:05:00,Test for: 3 Chargers 16 Sessions and 9.0 hrs Horizion,122.337,1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.13,19.34,0,20,0,0,20,48.14814815,396.3855556,361.19177,0,35.19378564,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-01 17:10:00,Test for: 3 Chargers 16 Sessions and 9.0 hrs Horizion,122.337,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.13,19.34,0,20,0,0,20,46.2962963,396.3855556,361.19177,0,35.19378564,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-01 17:15:00,Test for: 3 Chargers 16 Sessions and 9.0 hrs Horizion,122.337,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.13,19.34,0,20,0,0,20,44.44444444,396.3855556,361.19177,0,35.19378564,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-01 17:20:00,Test for: 3 Chargers 16 Sessions and 9.0 hrs Horizion,122.337,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.13,19.34,0,20,0,0,20,42.59259259,396.3855556,361.19177,0,35.19378564,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-01 17:25:00,Test for: 3 Chargers 16 Sessions and 9.0 hrs Horizion,122.337,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.13,19.34,0,20,0,0,20,40.74074074,396.3855556,361.19177,0,35.19378564,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-01 17:30:00,Test for: 3 Chargers 16 Sessions and 9.0 hrs Horizion,122.337,6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.13,19.34,0,20,0,0,20,38.88888889,396.3855556,361.19177,0,35.19378564,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-01 17:35:00,Test for: 3 Chargers 16 Sessions and 9.0 hrs Horizion,122.337,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.13,19.34,0,20,0,0,20,37.03703704,396.3855556,361.19177,0,35.19378564,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-01 17:40:00,Test for: 3 Chargers 16 Sessions and 9.0 hrs Horizion,122.337,8,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.13,19.34,0,20,0,0,20,35.18518519,396.3855556,361.19177,0,35.19378564,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-01 17:45:00,Test for: 3 Chargers 16 Sessions and 9.0 hrs Horizion,122.337,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.13,19.34,0,20,0,0,20,33.33333333,396.3855556,361.19177,0,35.19378564,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-01 17:50:00,Test for: 3 Chargers 16 Sessions and 9.0 hrs Horizion,122.337,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.13,19.34,0,20,0,0,20,31.48148148,396.3855556,361.19177,0,35.19378564,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,322.12,0,0,0,0,0,0,0,0,0,0,0,0
